timestamp,ticker,strategy,adx,di_plus,di_minus,atr,atr_ratio,rsi,ema_fast,ema_slow,ema_ratio,price_position,volume_ratio,volume_trend,entry_confidence,risk_reward_ratio,stop_distance,signal_strength,signal_type_trend,signal_type_fx,signal_type_mixed,group_confirmed,strong_trend,range_regime,hour_of_day,day_of_week,is_morning,is_afternoon,entry_price,stop_loss,take_profit,quantity,outcome,is_winner
2023-01-06T11:00,ROSN,RegimeAwareStrategyMl,32.673267,13.654618,26.907631,0.889286,0.512093,48.360656,367.571028,367.311098,1.000708,0.378995,0.855321,-0.044504,1.000000,2.000000,0.484097,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,11,5,1,0,367.400000,365.621429,370.957143,1,-876.608709,false
2023-01-06T12:00,MTSS,RegimeAwareStrategyMl,40.740741,11.188811,26.573427,0.510714,0.633809,52.542373,236.333433,236.269111,1.000272,0.600000,1.674942,0.645384,1.000000,2.000000,0.432809,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,12,5,1,0,236.000000,234.978571,238.042857,1,-0.907552,false
2023-01-06T19:00,PLZL,RegimeAwareStrategyMl,47.572816,10.505837,29.571984,3.671429,1.064976,53.260870,785.391015,787.022015,0.997928,0.502732,1.745437,0.418051,1.000000,2.761364,1.028411,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,19,5,0,0,785.400000,777.322857,807.703929,1,1420.560606,true
2023-01-10T16:00,MTSS,RegimeAwareStrategyMl,66.451613,8.843537,43.877551,1.050000,0.912760,41.666667,236.996295,236.950651,1.000193,0.514851,0.909444,-0.145905,1.000000,2.000000,0.888513,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,16,2,0,1,236.350000,234.250000,240.550000,1,5.177636,true
2023-01-11T14:00,LKOH,RegimeAwareStrategyMl,62.000000,6.484642,27.645051,10.464286,0.466546,56.179775,4084.806094,4086.191950,0.999661,0.323144,0.671935,5.139114,1.000000,2.250000,0.511951,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,14,3,0,1,4088.000000,4067.071429,4135.089286,1,-39.858611,false
2023-01-11T17:00,NVTK,RegimeAwareStrategyMl,34.482759,15.200000,31.200000,3.571429,0.747921,50.375940,1039.753192,1040.720660,0.999070,0.188088,1.359002,-0.163741,1.000000,2.454545,0.753610,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,17,3,0,1,1042.600000,1034.742857,1061.885714,1,-0.008335,false
2023-01-11T18:00,PLZL,RegimeAwareStrategyMl,45.161290,10.179641,26.946108,2.385714,0.487449,59.154930,788.515991,788.131129,1.000488,0.546448,1.146316,-0.444040,1.000000,2.250000,0.606281,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,18,3,0,0,787.000000,782.228571,797.735714,1,-0.021860,false
2023-01-12T14:00,NVTK,RegimeAwareStrategyMl,35.714286,9.836066,20.765027,2.614286,0.665164,55.555556,1042.982399,1042.439423,1.000521,0.200627,0.281771,1.710544,1.000000,2.250000,0.501109,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,14,4,0,1,1043.400000,1038.171429,1055.164286,1,-0.355097,false
2023-01-12T20:00,PLZL,RegimeAwareStrategyMl,31.372549,30.044843,15.695067,3.185714,0.931807,60.150376,792.110064,790.509076,1.002025,0.699454,0.595447,1.703620,1.000000,2.250000,0.803864,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,20,4,0,0,792.600000,786.228571,806.935714,1,0.065007,true
2023-01-16T14:00,MTSS,RegimeAwareStrategyMl,40.845070,9.744780,23.201856,1.539286,1.612783,61.325967,240.083530,239.780237,1.001265,0.920530,5.147287,469.632075,1.000000,2.000000,1.279008,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,14,1,0,1,240.700000,237.621429,246.857143,1,1444.308683,true
